id,text,mes_date,views,mes_title,mes_description
2, вакансия минск product analyst data analyst варгейминг ищет а мы тут все еще ищем к себе в команду человека линейку если серьезно то нужен хороший продуктовый дата аналитик для работы над сервисами варгейминга заниматься нужно будет разными измерениями сайтов систем сервисов которые мы создаем для пользователей исследовать аудиторию валидировать гипотезы в общем всем тем что вы так любите вакансия тут откликаться можно диме вульбруну лично ,2017-10-27 15:10:29+00:00,337.0,product analyst data analyst карьера wargaming,отличная вакансия в wargaming здесь ценят хороших специалистов и создают крутые игры 
3, вакансия москва product mob ile analyst ламода ищет не смотрите что на хх ваканси в архиве она открыта писать можно семену полецкому вакансия тут ,2017-10-27 15:19:43+00:00,357.0,вакансия product mob ile analyst в москве работа в lamoda вакансия в архиве ,вакансия product mob ile analyst зарплата не указана москва требуемый опыт 1 3 года полная занятость дата публикации 05 09 2017 
4, конференция москва спец конфа аналитика для аналитиков встреча аналитиков data driven дата 2 декабря кол во мест ограничено до 70 человек конфа не для всех будет входное тест задание записи не будет материалы не будут выкладываться в открытый доступ ,2017-10-30 09:11:18+00:00,388.0,встреча аналитиков data driven 2 декабря 2017 москва события яндекса,события вся информация о конференциях школах семинарах и других мероприятиях яндекса как прошедших так и предстоящих 
5, вакансия аналитик москва аналитик в мел отличный образовательный проект по всем фронтам пост длинный про много разных вакансий но вот краткое описание аналитик это для тех кто любит цифры больше чем буквы нужно вместе с нами научиться ещё лучше понимать трафик мела и наших сервисов искать закономерности находить проблемы и предлагать варианты их решений разумеется разбираться в ключевых системах аналитики желательно понимать как работает медиа и или e commerce мы готовы нанять и уже сложившего специалиста и того кому ещё предстоит учиться если хотите попробовать 1 вот тут олдскульное резюме пригодится 2 но вменяемый рассказ о себе и своей мотивации значительно повысит ваши шансы писать можно напрямую никите белоголовцему с темой письма хочу работать аналитиком в меле ,2017-10-30 09:18:06+00:00,435.0,nikita belogolovcev,всем привет немного отличных вакансий от вашего любимого мела хочется пообещать ответить на каждое письмо но возможно этого не случится если не отвечу значит что то не срослось простите 
6, вакансия москва data analyst в social discovery ventures ключевые теги стат анализ и machine learning подробное описание писать можно ане или в фб ,2017-10-30 09:52:28+00:00,478.0,anna denshchikova,всем привет у нас в social discovery ventures открыта hot вакансия data analyst sdv создает продукты для аудитории по всему миру это коммуникационные платформы на 
7, вакансия москва аналитик клиентского с ервиса в delivery club в деливериклаб отличная команда продактов и аналитиков есть шанс присоединиться зп вилка 90 110кк детали про вакансию писать можно напрямую ане цейтлиной ,2017-10-30 11:04:43+00:00,830.0,вакансия аналитик клиентского с ервиса delivery club в москве работа в mail ru group поиск e commerce,вакансия аналитик клиентского с ервиса delivery club зарплата не указана москва требуемый опыт 1 3 года полная занятость дата публикации 27 10 2017 
8, вакансия москва бизнес аналитик в наш любимый едадил это одна из немногих компаний откуда нас постоянно просят похантить сотрудников но мы даже не беремся команда там отличная вот что мы хотим сказать вакансия для джедая в продуктовых метриках детали тут зп вилка 120 150кк писать можно сразу гале ,2017-10-31 10:14:11+00:00,2509.0,вакансия business analyst бизнес аналитик в москве работа в едадил вакансия в архиве ,вакансия business analyst бизнес аналитик зарплата не указана москва требуемый опыт 1 3 года полная занятость дата публикации 27 10 2017 
9, вакансия москва junior digital аналитик в теле2 очень хорошая история для тех кто готов быстро учиться единственный критичный момент важен хороший английский не ниже upper детали тут писать можно напрямую завену он же расскажет все важные и нужные подробности ,2017-10-31 16:29:14+00:00,586.0,вакансия web marketing specialist спец иалист по интернет коммуникациям в москве работа в tele2,вакансия web marketing specialist спец иалист по интернет коммуникациям зарплата не указана москва требуемый опыт 1 3 года полная занятость дата публикации 23 10 2017 
10, вакансия москва 2 горяченькие вакансии в wheely в команду data science data analyst чтобы делать бизнес ещё более data driven детали data scientist чтобы сам uber позавидовал нашему machine learning детали откликаться можно прямо на сайте или писать давиду ,2017-11-01 12:50:47+00:00,884.0,job opening data analyst at wheely,job opening data analyst at wheely apply at workable 
11, вакансия москва продуктовый аналитик в cian редкая вакансия прийти и c нуля создать иерархию продуктовых метрик и по сути отвечать за продуктовую аналитику компании детали откликаться можно на hh ru а можно сразу на,2017-11-02 08:49:03+00:00,1720.0,вакансия продуктовый аналитик в москве работа в циан групп,вакансия продуктовый аналитик зарплата не указана москва требуемый опыт 1 3 года полная занятость дата публикации 02 04 2018 
