id,text,mes_date,views,mes_title,mes_description
2,product analyst data analyst варгейминг ищем команду человека линейку серьезно нужен хороший продуктовый дата аналитик работы сервисами варгейминга заниматься нужно разными измерениями сайтов систем сервисов которые создаем пользователей исследовать аудиторию валидировать гипотезы общем всем любите диме вульбруну лично,2017-10-27 15:10:29+00:00,337.0,product analyst data analyst карьера wargaming,отличная вакансия в wargaming здесь ценят хороших специалистов и создают крутые игры 
3,product mob ile analyst ламода смотрите хх ваканси архиве открыта писать семену полецкому,2017-10-27 15:19:43+00:00,357.0,вакансия product mob ile analyst в москве работа в lamoda вакансия в архиве ,вакансия product mob ile analyst зарплата не указана москва требуемый опыт 1 3 года полная занятость дата публикации 05 09 2017 
4,конференция спец конфа аналитика аналитиков встреча аналитиков data driven дата 2 декабря кол мест ограничено 70 человек конфа входное тест задание записи материалы будут выкладываться открытый доступ,2017-10-30 09:11:18+00:00,388.0,встреча аналитиков data driven 2 декабря 2017 москва события яндекса,события вся информация о конференциях школах семинарах и других мероприятиях яндекса как прошедших так и предстоящих 
5,аналитик аналитик мел отличный образовательный проект всем фронтам длинный разных вакансий краткое аналитик тех любит цифры буквы нужно вместе нами научиться ещё понимать трафик мела наших сервисов искать закономерности находить проблемы предлагать варианты решений разумеется разбираться ключевых системах аналитики желательно понимать работает медиа e commerce готовы нанять сложившего кому ещё предстоит учиться хотите попробовать 1 олдскульное резюме пригодится 2 вменяемый рассказ своей мотивации значительно повысит ваши шансы писать напрямую никите белоголовцему темой письма хочу работать аналитиком меле,2017-10-30 09:18:06+00:00,435.0,nikita belogolovcev,всем привет немного отличных вакансий от вашего любимого мела хочется пообещать ответить на каждое письмо но возможно этого не случится если не отвечу значит что то не срослось простите 
6,data analyst social discovery ventures ключевые теги стат анализ machine learning подробное писать ане фб,2017-10-30 09:52:28+00:00,478.0,anna denshchikova,всем привет у нас в social discovery ventures открыта hot вакансия data analyst sdv создает продукты для аудитории по всему миру это коммуникационные платформы на 
7,аналитик клиентского ервиса delivery club деливериклаб отличная команда продактов аналитиков шанс присоединиться зп вилка 90 110кк детали вакансию писать напрямую ане цейтлиной,2017-10-30 11:04:43+00:00,830.0,вакансия аналитик клиентского с ервиса delivery club в москве работа в mail ru group поиск e commerce,вакансия аналитик клиентского с ервиса delivery club зарплата не указана москва требуемый опыт 1 3 года полная занятость дата публикации 27 10 2017 
8,бизнес аналитик наш любимый едадил одна немногих компаний откуда постоянно просят похантить сотрудников беремся команда отличная хотим сказать джедая продуктовых метриках детали зп вилка 120 150кк писать сразу гале,2017-10-31 10:14:11+00:00,2509.0,вакансия business analyst бизнес аналитик в москве работа в едадил вакансия в архиве ,вакансия business analyst бизнес аналитик зарплата не указана москва требуемый опыт 1 3 года полная занятость дата публикации 27 10 2017 
9,junior digital аналитик теле2 очень хорошая история тех готов быстро учиться единственный критичный момент важен хороший английский ниже upper детали писать напрямую завену расскажет важные нужные подробности,2017-10-31 16:29:14+00:00,586.0,вакансия web marketing specialist спец иалист по интернет коммуникациям в москве работа в tele2,вакансия web marketing specialist спец иалист по интернет коммуникациям зарплата не указана москва требуемый опыт 1 3 года полная занятость дата публикации 23 10 2017 
10,2 горяченькие wheely команду data science data analyst делать бизнес ещё data driven детали data scientist uber позавидовал нашему machine learning детали прямо сайте писать давиду,2017-11-01 12:50:47+00:00,884.0,job opening data analyst at wheely,job opening data analyst at wheely apply at workable 
11,продуктовый аналитик cian редкая прийти c нуля создать иерархию продуктовых метрик сути отвечать продуктовую аналитику компании детали hh сразу,2017-11-02 08:49:03+00:00,1720.0,вакансия продуктовый аналитик в москве работа в циан групп,вакансия продуктовый аналитик зарплата не указана москва требуемый опыт 1 3 года полная занятость дата публикации 02 04 2018 
