id,text,mes_date,views,mes_title,mes_description
5, вакансия java developer middle senior что необходимо знать и уметь понимание шаблонов проектирования и принципа solid от 3 лет опыта в java spring boot spring security spring mvc spring data hibernate понимание принципов и опыт работы с базами данных модульное и интеграционное тестирование опыт работы по методологии agile scrum kanban знания и опыт использования maven gradle опыт работы и понимание принципов контейнеризации docker docker compose k8s знание и опыт построения микро сервисной архитектуры четкое представление о жизненном цикле разработки и обслуживания программного обеспечения и жизненного цикла тестирования программного обеспечения будет плюсом опыт работы с rabbit kafka nosql db junit mockito в tdd что предстоит делать разработка и развитие новых и существующих проектов оптимизация производительности приложения взаимодействие с внешними api тестирование и документирование кода командная работа над задачами it компания высылать cv и узнавать подробности,2020-08-25 06:17:50+00:00,541.0,none,none
6, вакансия golang либо scala разработчик middle senior что необходимо знать и уметь понимания принципа функционального программирования от 2 лет опыта в golang fiber gorm gorilla fast http умение работать с автоматической генерацией swagger коллекции опыт работы с реляционными базами данных oracle postgresql умение разработки хранимых процедур тригеров хорошее понимание оптимизации базы данных партиционирование индексирование и т д опыт работы с nosql базами данных elasticsearch mongodb cassandra redis опыт работы с kafka rabitmq опыт написания producer и consumer опыт работы с elk grafana стеком умение проводить стрес и нагрузочное тестирование опыт работы по методологии agile scrum kanban опыт работы и понимание принципов контейнеризации виртуализации k8s docker docker compose знание и опыт построения микро сервисной архитектуры что предстоит делать разработка и развитие новых и существующих проектов оптимизация производительности приложения взаимодействие с внешними api тестирование и документирование кода командная работа над задачами в офисе алматы it компания высылать cv и узнавать подробности,2020-08-25 06:18:29+00:00,605.0,none,none
7, вакансия fico developer senior middle что необходимо знать и уметь высшее техническое образование знание java javascript html css работа с web сервисами rest soap опыт работы с базами данных опыт работы с bpm приветствуется что предстоит делать автоматизация внутренних процессов банка на базе bpm системы разработка и внедрение программного обеспечения it компания высылать cv и узнавать подробности,2020-08-25 06:18:53+00:00,684.0,none,none
8, вакансия data scientist middle направление антифрод выявление различного рода мошенничеств на базе алгоритмов машинного обучения что необходимо знать и уметь python sql ml практический опыт опыт работы с big data статистика что предстоит делать предобработка чистка анализ данных сегментация построение предиктивных моделей оптимизация процессов банк высылать cv и узнавать подробности,2020-08-25 06:19:13+00:00,780.0,none,none
9, вакансия data scientist junior middle направление речевая аналитика что необходимо знать и уметь python sql опыт работы с big data статистика что предстоит делать поддержание высокого уровня точности nlu модуля голосового ассистента запуск новых скриптов консультаций со стороны nlu анализ разговоров виртуального консультанта поиск новых тематик анализ изменения эффективности и т д создание оперативных отчетов банк высылать cv и узнавать подробности,2020-08-26 04:45:26+00:00,815.0,none,none
10, вакансия etl developer алматы и нур султан middle что необходимо знать и уметь умение писать sql скрипты любой сложности умение анализировать и оптимизировать чужой код знание реляционных субд oracle postgresql maria db mysql ms sql db2 sap hana и т д знание etl инструментов informatica ibm data stage sap data services pentaho talend и т д умение организовать процесс загрузки обработки и доставки обработанных данных конечным потребителям что предстоит делать анализировать процессы информационные системы и существующую отчетность компаний с целью поиска изучения и определения возможности использования данных заниматься разработкой упорядочиванием и структурированием потоков данных работать в компании где тебя слышат и ценят твой вклад влиять на технические решения и планомерно повышать качество сбора хранения и поставки данных разрабатывать востребованные продукты и получать четкие фидбэки от пользователей решать амбициозные задачи получить профессиональный рост у нас есть сильная команда которая готова делиться знаниями и в которой можно быстро расти it компания высылать cv и узнавать подробности,2020-09-11 07:06:21+00:00,679.0,none,none
11, вакансия bi разработчик аналитик алматы и нур султан middle что необходимо знать и уметь умение анализировать бизнес процессы информационные системы и отчетность компаний иметь четкое понимание и представление о работе потока данных от систем источников до визуализации умение работать с бизнесом для сбора анализа и документирования данных и системных требований для решений по управленческой отчетности умение настраивать и администрировать данные bi отчетности умение разрабатывать mvp и пилотные проекты из табличных источников в bi знание bi инструментов power bi cognos analytics qliksense pentaho bi ibm planning oracle hyperion умение проводить пред проектные анализы компаний целью поиска изучения и определения возможностей использования оптимизации работ с данными понимать принципы создания хранилищ данных dwh и витрин понимать принципы работы etl процессов что предстоит делать анализировать бизнес процессы информационные системы и существующую отчетность компаний настройка администрирования данных по bi отчетности разработка mvp и пилотных проектов из табличных источников в bi it компания высылать cv и узнавать подробности,2020-09-21 05:29:21+00:00,667.0,none,none
12, вакансия data scientist junior направление авто маркетинг что необходимо знать и уметь уверенный пользователь excel опыт в написании sql запросов хорошее знание статистики знание программы sas будет плюсом что предстоит делать отчетность ведение улучшение прогнозирование ключевых показателей бизнеса автокредитования содействие в запуске и оценке результатов маркетинговых кампаний содействие в разработке и применении аналитических предиктивных моделей банк высылать cv и узнавать подробности,2020-09-21 08:03:40+00:00,799.0,none,none
13, вакансия data scientist middle направление hard collection оптимизация сбора платежей после просрочки 90 дней что необходимо знать и уметь уверенный пользователь excel хорошее знание статистики и математики знание программы sas будет плюсом что предстоит делать прогнозирование выставление планов разработка аналитических предиктивных моделей банк высылать cv и узнавать подробности,2020-09-23 06:44:54+00:00,816.0,none,none
14, вакансия data scientist в направлении маркетинг рекомендательные системы hard collection кредитные риски антифрод речевая аналитика nlu nlp автокредитование маркетинг что необходимо знать и уметь опыт работы с анализом данных big data от 1 года знание основ machine learning sql excel знание статистики и математики python r sas что предстоит делать сбор и анализ данных прогнозирование отчетность построение аналитических и предиктивных моделей банк высылать cv и узнавать подробности,2020-10-05 15:08:25+00:00,873.0,none,none
15, вакансия frontend разработчик г алматы что необходимо знать и уметь опыт работы от 2х лет уверенное знание react js что предстоит делать работа над проектом voice recognition для рынка сша dsacademy kz вилка 300 000 500 000 тг высылать cv и узнавать подробности,2020-10-09 05:34:34+00:00,790.0,none,none
16, вакансия аналитик data science направление маркетинг рекомендательные системы что необходимо знать и уметь опыт работы с анализом данных big data от 1 года знание основ machine learning sql excel знание статистики и математики python sas что предстоит делать сбор и анализ данных оценка эффективности компаний построение аналитических и предиктивных моделей отчетность kaspi bank высылать cv и узнавать подробности,2020-11-02 10:55:28+00:00,553.0,none,none
