id,text,mes_date,views,mes_title,mes_description
5,java developer шаблонов проектирования принципа solid 3 лет опыта java spring boot spring security spring mvc spring data hibernate принципов базами данных модульное интеграционное тестирование методологии agile scrum kanban использования maven gradle принципов контейнеризации docker docker compose k8s построения микро сервисной архитектуры четкое представление жизненном цикле обслуживания программного обеспечения жизненного цикла тестирования программного обеспечения плюсом rabbit kafka nosql db junit mockito tdd разработка развитие существующих проектов оптимизация производительности приложения взаимодействие внешними api тестирование документирование командная работа задачами,2020-08-25 06:17:50+00:00,541.0,none,none
6,golang либо scala разработчик понимания принципа функционального программирования 2 лет опыта golang fiber gorm gorilla fast http автоматической генерацией swagger коллекции реляционными базами данных oracle postgresql хранимых процедур тригеров хорошее оптимизации базы данных партиционирование индексирование т д nosql базами данных elasticsearch mongodb cassandra redis kafka rabitmq producer consumer elk grafana стеком проводить стрес нагрузочное тестирование методологии agile scrum kanban принципов контейнеризации виртуализации k8s docker docker compose построения микро сервисной архитектуры разработка развитие существующих проектов оптимизация производительности приложения взаимодействие внешними api тестирование документирование командная работа задачами офисе,2020-08-25 06:18:29+00:00,605.0,none,none
7,fico developer высшее техническое образование java javascript html css работа web сервисами rest soap базами данных bpm приветствуется автоматизация внутренних процессов банка базе bpm системы разработка внедрение программного обеспечения,2020-08-25 06:18:53+00:00,684.0,none,none
8,data scientist направление антифрод выявление различного рода мошенничеств базе алгоритмов машинного обучения python sql ml практический big data статистика предобработка чистка анализ данных сегментация построение предиктивных моделей оптимизация процессов,2020-08-25 06:19:13+00:00,780.0,none,none
9,data scientist направление речевая аналитика python sql big data статистика поддержание высокого уровня точности nlu модуля голосового ассистента запуск скриптов консультаций стороны nlu анализ разговоров виртуального консультанта поиск тематик анализ изменения эффективности т д создание оперативных отчетов,2020-08-26 04:45:26+00:00,815.0,none,none
10,etl developer нур султан sql скрипты любой сложности анализировать оптимизировать чужой код реляционных субд oracle postgresql maria db mysql ms sql db2 sap hana т д etl инструментов informatica ibm data stage sap data services pentaho talend т д организовать процесс загрузки обработки доставки обработанных данных конечным потребителям анализировать процессы информационные системы существующую отчетность компаний целью поиска изучения определения возможности использования данных разработкой упорядочиванием структурированием потоков данных слышат ценят твой вклад влиять технические решения планомерно повышать качество сбора хранения поставки данных разрабатывать востребованные продукты получать четкие фидбэки пользователей решать амбициозные получить профессиональный рост сильная команда которая готова делиться знаниями которой быстро расти,2020-09-11 07:06:21+00:00,679.0,none,none
11,bi разработчик аналитик нур султан анализировать бизнес процессы информационные системы отчетность компаний иметь четкое представление работе потока данных систем источников визуализации бизнесом сбора анализа документирования данных системных требований решений управленческой отчетности настраивать администрировать данные bi отчетности разрабатывать mvp пилотные проекты табличных источников bi bi инструментов power bi cognos analytics qliksense pentaho bi ibm planning oracle hyperion проводить пред проектные анализы компаний целью поиска изучения определения возможностей использования оптимизации работ данными понимать принципы создания хранилищ данных dwh витрин понимать принципы etl процессов анализировать бизнес процессы информационные системы существующую отчетность компаний настройка администрирования данных bi отчетности разработка mvp пилотных проектов табличных источников bi,2020-09-21 05:29:21+00:00,667.0,none,none
12,data scientist направление авто маркетинг уверенный пользователь excel написании sql запросов хорошее статистики программы sas плюсом отчетность ведение улучшение прогнозирование ключевых показателей бизнеса автокредитования содействие запуске оценке результатов маркетинговых кампаний содействие разработке применении аналитических предиктивных моделей,2020-09-21 08:03:40+00:00,799.0,none,none
13,data scientist направление hard collection оптимизация сбора платежей просрочки 90 дней уверенный пользователь excel хорошее статистики математики программы sas плюсом прогнозирование выставление планов разработка аналитических предиктивных моделей,2020-09-23 06:44:54+00:00,816.0,none,none
14,data scientist направлении маркетинг рекомендательные системы hard collection кредитные риски антифрод речевая аналитика nlu nlp автокредитование маркетинг анализом данных big data 1 machine learning sql excel статистики математики python r sas сбор анализ данных прогнозирование отчетность построение аналитических предиктивных моделей,2020-10-05 15:08:25+00:00,873.0,none,none
